county,species,clustersize,state,wyear,yoa,ysw,preN,preNyear,surveydiff,lambda.post,wtemp,postwns_surv,surv_including yoa
LYCOMING,MYSE,1,PA,2013,2010,3,11,1995,15,0.090909091,-1.7,1,1
FAYETTE,MYSE,0,PA,2012,2010,2,6,1997,13,0,0.6,1,1
WESTMORELAND,MYSE,0,PA,2013,2011,2,13,2000,11,0,-0.6,1,1
HAMPDEN,MYSE,2,MA,2009,2008,1,203,1999,9,0.009852217,-1.2,1,1
HAMPDEN,MYSE,0,MA,2009,2008,1,190,1999,9,0,-1.2,1,1
PUTNAM,MYSE,0,NY,2010,2009,1,15,2000,9,0,-1.2,1,2
BERKSHIRE,MYSE,10,MA,2009,2008,1,100,2000,8,0.1,-1.2,1,2
WARREN,MYSE,0,NY,2010,2008,2,440,2000,8,0,-6.6,3,4
LAWRENCE,MYSE,0,PA,2012,2010,2,30,2002,8,0,-0.9,1,1
BATG,MYSE,0,VA,2013,2009,4,7,2001,8,0,1.6,2,3
SCHOHARIE,MYSE,0,NY,2008,2006,2,18,1999,7,0,-3.7,4,5
ULSTER,MYSE,0,NY,2009,2008,1,10,2001,7,0,-1.5,3,4
BLAIR,MYSE,0,PA,2012,2010,2,22,2003,7,0,-0.6,2,2
HAMPDEN,MYSE,44,MA,2009,2008,1,131,2002,6,0.335877863,-3.7,1,1
GOGEBIC,MYSE,0,MI,2018,2016,2,14,2011,5,0,-9.7,2,2
ESSEX,MYSE,4,NY,2011,2008,3,26,2003,5,0.153846154,-5.8,2,2
BATH,MYSE,0,VA,2012,2010,2,10,2005,5,0,0.2,3,3
ORANGE,MYSE,0,VT,2010,2009,1,41,2004,5,0,-6.4,0,1
HOUGHTON,MYSE,0,MI,2017,2015,2,369,2011,4,0,-8.1,1,1
WARREN,MYSE,0,NY,2009,2008,1,26,2004,4,0,-4.5,1,1
ULSTER,MYSE,0,NY,2010,2008,2,44,2004,4,0,-1.5,2,3
WINDSOR,MYSE,0,VT,2009,2009,1,230,2005,4,0,-6.4,0,1
ONTONAGON,MYSE,0,MI,2016,2015,1,130,2012,3,0,-8.6,4,5
ONTONAGON,MYSE,0,MI,2018,2014,4,14,2011,3,0,-8.3,2,2
ONTONAGON,MYSE,0,MI,2018,2014,4,199,2011,3,0,-8.3,3,3
ONTONAGON,MYSE,1,MI,2018,2014,4,561,2011,3,0.001782531,-8.4,2,2
MIFFLIN,MYSE,0,PA,2010,2009,1,30,2006,3,0,-0.3,2,3
HUNTINGDON,MYSE,0,PA,2011,2010,3,9,2007,3,0,-1.4,2,2
FENTRESS,MYSE,1,TN,2017,2013,4,40,2010,3,0.025,4.4,2,3
LITCHFIELD,MYSE,0,CT,2010,2009,2,527,2007,2,0,-2.5,1,2
KEWEENAW,MYSE,0,MI,2017,2014,3,10,2012,2,0,-7.7,2,2
ONTONAGON,MYSE,3,MI,2016,2014,2,14,2012,2,0.214285714,-8.5,2,3
ONTONAGON,MYSE,4,MI,2017,2014,3,280,2012,2,0.014285714,-8.6,2,2
ONTONAGON,MYSE,2,MI,2017,2015,2,17,2013,2,0.117647059,-8.6,4,5
ONTONAGON,MYSE,0,MI,2018,2014,4,8,2012,2,0,-8.6,1,1
BARAGA,MYSE,1,MI,2019,2017,2,21,2015,2,0.047619048,-9.2,2,3
ONTONAGON,MYSE,0,MI,2019,2015,4,298,2013,2,0,-8.3,2,3
MANISTEE,MYSE,211,MI,2018,2015,3,2010,2013,2,0.104975124,-4.4,3,4
ONTONAGON,MYSE,0,MI,2017,2014,3,13,2012,2,0,-8,3,4
ALBANY,MYSE,0,NY,2008,2007,1,14,2005,2,0,-3.6,4,5
BUCKS,MYSE,0,PA,2013,2010,3,556,2008,2,0,-0.1,2,3
MIFFLIN,MYSE,0,PA,2010,2009,1,16,2007,2,0,-0.4,2,3
CENTRE,MYSE,0,PA,2011,2008,3,32,2006,2,0,-1,3,4
CARTER,MYSE,0,TN,2013,2010,2,51,2008,2,0,1.8,4,5
CAMPBELL,MYSE,2,TN,2017,2013,4,25,2011,2,0.08,3.4,2,3
RUTLAND,MYSE,0,VT,2010,2009,1,9,2007,2,0,-6.4,1,1
WINDSOR,MYSE,3,VT,2010,2009,1,21,2007,2,0.142857143,-6.4,1,2
PIERCE,MYSE,0,WI,2020,2017,3,17,2015,2,0,-8.2,2,3
PIERCE,MYSE,0,WI,2019,2017,2,20,2015,2,0,-8.3,3,4
LITCHFIELD,MYSE,0,CT,2010,2008,2,625,2007,1,0,-2.5,1,1
LASALLE,MYSE,4,IL,2016,2013,3,732,2012,1,0.005464481,-3,2,3
ONTONAGON,MYSE,0,MI,2016,2015,1,18,2014,1,0,-8,4,5
BARAGA,MYSE,0,MI,2017,2016,1,66,2015,1,0,-9.2,4,5
ONTONAGON,MYSE,183,MI,2016,2014,2,3273,2013,1,0.055912007,-8.2,1,1
KEWEENAW,MYSE,1,MI,2017,2014,3,266,2013,1,0.003759398,-7.6,4,5
ONTONAGON,MYSE,4,MI,2016,2014,2,16,2013,1,0.25,-8.5,4,4
GOGEBIC,MYSE,1,MI,2018,2016,2,12,2015,1,0.083333333,-9.7,2,3
MACKINAC,MYSE,0,MI,2016,2014,2,9,2013,1,0,-6.9,2,3
DICKINSON,MYSE,3,MI,2017,2014,3,2307,2013,1,0.00130039,-8.4,1,1
DICKINSON,MYSE,0,MI,2017,2014,3,31,2013,1,0,-8.4,3,4
DICKINSON,MYSE,0,MI,2017,2014,3,10,2013,1,0,-8.4,4,5
ONTONAGON,MYSE,0,MI,2017,2014,3,1770,2013,1,0,-9,2,2
ONTONAGON,MYSE,0,MI,2017,2014,3,16,2013,1,0,-8.6,1,1
ONTONAGON,MYSE,2,MI,2018,2014,4,28,2013,1,0.071428571,-8.6,4,4
DICKINSON,MYSE,0,MI,2017,2014,3,16,2013,1,0,-8.8,2,2
ALPENA,MYSE,0,MI,2017,2014,3,37,2013,1,0,-5.3,2,3
ONTONAGON,MYSE,15,MI,2017,2014,3,265,2013,1,0.056603774,-8.4,4,4
HAYWOOD,MYSE,0,NC,2016,2012,4,17,2011,1,0,3,3,4
FAYETTE,MYSE,0,PA,2013,2010,3,7,2009,1,0,-1.7,2,3
LUZERNE,MYSE,0,PA,2011,2009,2,6,2008,1,0,-2.1,2,3
SOMERSET,MYSE,0,PA,2013,2011,2,11,2010,1,0,-2.3,2,2
CENTRE,MYSE,0,PA,2009,2008,1,21,2007,1,0,-1,3,4
MACON,MYSE,9,TN,2016,2014,2,6,2013,1,1.5,4.4,1,2
BLOUNT,MYSE,25,TN,2013,2012,1,71,2011,1,0.352112676,5.5,1,1
MONROE,MYSE,0,WI,2018,2016,2,10,2015,1,0,-6.4,4,5
DOOR,MYSE,0,WI,2016,2015,1,8,2014,1,0,-5.8,4,5
CALUMET,MYSE,0,WI,2018,2017,1,27,2016,1,0,-6.2,4,5
MANITOWOC,MYSE,0,WI,2017,2016,1,47,2015,1,0,-5.2,4,5
GRANT,MYSE,0,WI,2017,2015,2,8,2014,1,0,-5.6,4,5
SAUK,MYSE,0,WI,2017,2016,1,7,2015,1,0,-5.9,4,5
RICHLAND,MYSE,1,WI,2016,2015,1,8,2014,1,0.125,-5.8,2,3
PIERCE,MYSE,0,WI,2019,2017,2,16,2016,1,0,-8.2,3,4
MONROE,MYSE,0,WI,2019,2017,2,7,2016,1,0,-6.4,2,3
POLK,MYSE,0,WI,2021,2017,4,13,2016,1,0,-8.5,4,5
CRAWFORD,MYSE,0,WI,2016,2015,1,9,2014,1,0,-6.2,4,5
DANE,MYSE,0,WI,2017,2016,1,11,2015,1,0,-5.5,2,3
PIERCE,MYSE,0,WI,2018,2016,2,47,2015,1,0,-7.3,4,5
RICHLAND,MYSE,0,WI,2018,2016,2,10,2015,1,0,-5.8,3,4
IOWA,MYSE,0,WI,2019,2015,4,6,2014,1,0,-5.7,2,3
OZAUKEE,MYSE,0,WI,2020,2017,3,18,2016,1,0,-4.7,3,4
CRAWFORD,MYSE,0,WI,2017,2016,1,14,2015,1,0,-6.3,2,3
LASALLE,MYSE,2,IL,2015,2013,2,163,2013,0,0.012269939,-3,2,3
CHEROKEE,MYSE,0,NC,2016,2014,2,10,2014,0,0,5.7,2,3
CHEROKEE,MYSE,0,NC,2016,2014,2,6,2014,0,0,5.7,2,3
YANCEY,MYSE,0,NC,2014,2011,3,11,2011,0,0,2.9,1,2
WASHINGTON,MYSE,0,NY,2012,2009,3,45,2009,0,0,-4.8,3,4
SCHOHARIE,MYSE,0,NY,2008,2006,2,8,2006,0,0,-3.7,1,2
MIFFLIN,MYSE,1,PA,2010,2009,1,27,2009,0,0.037037037,-0.9,2,3
WISE,MYSE,0,VA,2012,2011,1,55,2011,0,0,1.9,1,2
,MYSE,0,NY,2012,2010,2,13,2000,9,0,-1.2,3,4